,year,ID,count,text,len,ratio
53100,2014,422871,95,"”7 In section 45A (effect of endorsement of driving records), for subsection (4) as substituted by paragraph 42 of Schedule 3 to the Road Safety Act 2006 (endorsement: all drivers), substitute—“(4) Where the offence was under one of the following sections of the Road Traffic Act 1988, the endorsement remains effective until four years have elapsed since the conviction—(a) section 1 (causing death by dangerous driving),(b) section 1A (causing serious injury by dangerous driving),(c) section 2 (dangerous driving),(d) section 3ZC (causing death by driving: disqualified drivers), or(e) section 3ZD (causing serious injury by driving: disqualified drivers)",658,6.926315789
64212,2004,16887,107,"[Relevant documents: Delivering Security in a Changing World: Defence White Paper (Cm6041–I); Delivering Security in a Changing World: Supporting Essays (Cm6041–II); Uncorrected Oral Evidence taken before the Defence Committee on 24th March 2004, from General Sir Michael Walker GCB CMG CBE ADC Gen, Chief of Defence Staff, Admiral Sir Alan West GCB DSC ADC, First Sea Lord and Chief of the Naval Staff, General Sir Mike Jackson KCB CBE DSO ADC Gen, Chief of the General Staff and Air Chief Marshal Sir Jock Stirrup KCB AFC ADC, Chief of the Air Staff, on the Defence White Paper (HC465–i)]Motion made, and Question proposed, That this House do now adjourn",656,6.130841121
64760,2004,24189,103,"Given that the articulate, charismatic and democratically elected mayor of Harare, Elias Mudzuri, was first suspended and then removed from office, and that the Mugabe thugs are now seeking to evict him and his family from their home—which I had the privilege of visiting in February this year—will the Minister accept the urgent need to beseech the President of South Africa to stop appeasing the tyrant Mugabe and to start insisting that the Southern African Development Community norms and standards, according to which the South African elections were conducted, are the norms and standards by which the Government of Zimbabwe should also be conducted",655,6.359223301
57875,2014,778396,91,"New clause 13—Deferred payment data‘The Health and Social Care Information Centre shall make arrangements to collect and publish data including, but not limited to—(a) the number of individuals entering into a deferred payment arrangement,(b) the proportion of those individuals who received—(i) regulated financial advice,(ii) other forms of advice, and(iii) no advicebefore entering into a deferred payment arrangement,(c) the average length of time a deferred payment arrangement is held,(d) the numbers of individuals holding such arrangements broken down by different periods of time held, and(e) the amount of money deferred under such arrangement",653,7.175824176
151207,1984,583953,97, They will enable the inquiry to examine the administration of children's homes and young persons' hostels whose residents were subjected to homosexual offences which led to convictions or where homosexual misconduct led to disciplinary action against members of the staff; the extent to which those responsible for residential care could have prevented the commission of such acts or detected their occurrence earlier; the implications for present procedures and practices within the system of residential care; and to make recommendations with a view to promoting the welfare of such children and young persons and preventing any future malpractices,651,6.711340206
153771,1984,772257,100," The Minister will be aware that even in present circumstances, where there is an agency arrangement, considerable suspicion and friction have arisen between the United Kingdom fishermen and the Manx authorities, so much so that when recently—so Lord Mansfield explained to me—because of shortness of time, the licences were issued directly by the Manx authorities to my fishermen in Northern Ireland, the fishermen were so alarmed and incensed by this that they sent them back and insisted on receiving them from the only authority they recognised, namely, the United Kingdom fishery authority, in this case the Northern Ireland fishery Minister",646,6.46
62216,2014,1792235,102,"In this order, we continue: first, to maintain our commitment to the triple lock, meaning that the basic state pension will reach its highest level as a percentage of average earnings for two decades; secondly, to protect our poorest pensioners with an over-indexation of the standard minimum guarantee, so they too will feel the benefit of our triple lock; and, thirdly, to protect the benefits that reflect the additional costs that disabled people face as a result of their disability, through increases to disability living allowance and attendance allowance, carer’s allowance and the main rate of other disability benefits in line with CPI",645,6.323529412
141034,1984,120509,90," He said: By a sustained process over recent years of malevolent personal abuse, manipulation and outright intimidation, all but the hardiest, most committed, experienced and clear-headed of opponents have been driven out of general meetings by varied groupings of teachers hooked on the 'policies' of Rank and File (Socialist Workers' Party, formerly International Socialism), Socialist Teachers' Alliance (International Marxist Group), many of whom now have 'entered' the Labour Party and even masquerade as Labour Party local councillors, together with a number of members of the Communist Party of Great Britain —Marxist-Leninist",633,7.033333333
136955,1984,51465,90," R/67/75, R/55/76 and R1804/78 setting out proposals for Council Directives on the approximation of the laws of the Member States relating to construction plant and equipment, and the permissable sound emission levels for concrete breakers and picks (jackhammers), tower cranes, current generators and compressors, and the supplementary memorandum submitted by the Department of Trade and Industry on 28th November 1983; and supports the Government's intention to seek final agreement on these proposals for Directives which would facilitate trade within the Community and safeguard the protection of workers and the environment",628,6.977777778
150994,1984,570221,101," As the House will recall, in 1816, following a Select Committee report, the House of Commons voted by 82 to 30 to purchase the marbles from Lord Elgin for the sum of £35,000, which is half the price that he paid for them and they have been carefully preserved in the British Museum ever since, inspiring the reintroduction of classical architecture to Victorian Britain, playing an international role in the understanding and appreciation of  antiquity, and revolutionising the fine and decorative arts in an unparalleled way, all of which the Greek Government would do well to acknowledge in their request for their return",624,6.178217822
162242,1984,1898644,99," The Government also give themselves a blank cheque to withhold any other information that they choose under clause 29(2): The Secretary of State may by order exempt from the subject access provisions, or modify those provisions in relation to, personal data of such other descriptions as may be specified in the order, being information— (a) held by government departments or local authorities or by voluntary organisations or other bodies designated by or under the order; and(b) appearing to him to be held for, or acquired in the course of, carrying out social work in relation to the data subject or other individuals",622,6.282828283
134438,1984,14529,96,"Motion made, and Question proposed,That a Supplementary sum not exceeding £1,000 be granted to Her Majesty out of the Consolidated Fund to defray the charges which will come in course of payment during the year ending on 31st March 1984 for expenditure by the Department of Health and Social Security on the provision of services under the national health service in England, on other health and personal social services including certain services in relation to the United Kingdom, and on research, exports, services for the disabled and certain other services; including grants in aid and international subscriptions",618,6.4375
144275,1984,214030,99," (3) A police officer may only authorise the setting up of a road check under subsection (1) above— (a) if he has reasonable grounds for suspecting that a person (i) whom the officer reasonably suspects of having committed a serious arrestable offence; or(ii) who is unlawfully at large is in the immediate area where the road check would be set up or (b) if he has reasonable suspicion that an offence under the Road Traffic Act 1972 has been committed or(c) if he has reasonable suspicion that the vehicle or persons in the vehicle are carrying offensive weapons, prohibited articles, illegal drugs or firearms",612,6.181818182
157357,1984,1108387,95," In their summary they say: Within the limitations of a survey based on the completion of posted questionnaries relating to events of many years before by those whose health is the subject of the survey, in the absence of any other Australian populations with whose health that of the survey population could be compared, and with the difficulties inherent in interpreting large numbers of tests of statistical significance, the analyses give no grounds for concluding that Australian personnel who participated in the UK atomic test programmes in the 1950s and 1960s suffered significant adverse health effects",611,6.431578947
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
